Name,Year,Rating,Watchers,Episodes,Ep. Duration,Aired On,Genres,Tags,Main Actors
You're Beautiful,2009,8,"93,683",16,1:05,"Wednesday, Thursday","Music,Comedy,Romance,Drama","Gender Bender,Cross-Dressing,Identity Swap,Singing,Love Triangle,Twin Exchange,Bromance,Cold Male Lead,Nice Female Lead,Cold Man/Warm Woman","Jang Geun Suk,Park Shin Hye,Jung Yong Hwa,Lee Hong Ki"
Just Between Lovers,2017,8.5,"93,464",16,1:13,"Monday, Tuesday","Psychological,Romance,Melodrama","Trauma,Orphan Male Lead,Healing,Death,Hardworking Female Lead,Fated Love,Hardworking Male Lead,Phobia,Poor Male Lead,Disaster","Lee Jun Ho,Won Jin A,Lee Ki Woo,Kang Han Na"
Playful Kiss,2010,7.2,"92,398",16,1:05,"Wednesday, Thursday","Comedy,Romance,Drama","Cohabitation,Adapted From A Manga,First Love,Unrequited Love,Mean Male Lead,Female Chases Male First,High School,Love Triangle,Smart Male Lead,Cold Male Lead","Kim Hyun Joong,Jung So Min,Lee Tae Sung"
Queen of Tears,2024,8.8,"92,911",16,1:28,"Saturday, Sunday","Comedy,Romance,Life,Drama","Rich Family,Company President (CEO) Female Lead,Lawyer Male Lead,Black Comedy,Heiress Female Lead,Second Chance Romance,Married Life,Illness,Conglomerate,Prestigious Family","Kim Soo Hyun,Kim Ji Won,Park Sung Hoon,Kwak Dong Yeon,Lee Joo Bin"
City Hunter,2011,8.3,"91,101",20,1:10,"Wednesday, Thursday","Action,Thriller,Crime","Hidden Identity,Revenge,Corruption,Adapted From A Manga,Smart Male Lead,Romance,Death,Rich Man/Poor Woman,Bromance,Badass Male Lead","Lee Min Ho,Park Min Young,Lee Joon Hyuk,Kim Sang Joong"
The Master's Sun,2013,8.5,"89,772",17,1:02,"Wednesday, Thursday","Horror,Comedy,Romance,Supernatural","Ghost,Eccentric Female Lead,Ghost-seeing Female Lead,Rich Male Lead,Clingy Female Lead,Successful Male Lead,Trauma,Secondary Couple,Eccentric Male Lead,Hidden Identity","Gong Hyo Jin,So Ji Sub,Seo In Guk,Kim Yoo Ri"
Who Are You: School 2015,2015,8.2,"89,619",16,1:00,"Monday, Tuesday","Mystery,Romance,Youth,Drama","Identity Swap,School Bullying,School Problems,High School,Amnesia,Love Triangle,Trauma,Hidden Identity,Orphan Female Lead,Tearjerker","Kim So Hyun,Nam Joo Hyuk,Yook Sung Jae"
The Beauty Inside,2018,8.3,"89,618",16,1:10,"Monday, Tuesday","Comedy,Romance,Melodrama,Supernatural","Prosopagnosia,Successful Male Lead,Calm Male Lead,Secondary Couple,Contract Relationship,Famous Female Lead,Rich Female Lead,Rich Male Lead,Sismance,Secret","Seo Hyun Jin,Lee Min Ki,Lee Da Hee,Ahn Jae Hyun"
Love in the Moonlight,2016,8.2,"88,407",18,0:59,"Monday, Tuesday","Historical,Comedy,Romance,Drama","Cross-Dressing,Joseon Dynasty,Hidden Identity,First Love,Male Chases Female First,Lovers Separated,Forbidden Love,Opposites Attract,Royalty,Bromance","Park Bo Gum,Kim You Jung,Jung Jin Young,Kwak Dong Yeon,Chae Soo Bin"
"Bring It On, Ghost",2016,8.1,"87,779",16,1:00,"Monday, Tuesday","Horror,Comedy,Romance,Supernatural","Ghost,Ghost-seeing Male Lead,Exorcism,Interspecies Romance,Nice Male Lead,Badass Female Lead,Adapted From A Webtoon,Sassy Female Lead,Bromance,Death","Ok Taec Yeon,Kim So Hyun,Kwon Yul"
Signal,2016,8.9,"87,499",16,1:15,"Friday, Saturday","Thriller,Mystery,Sci-Fi","Different Timelines,Butterfly Effect,Murder,Hwaseong Serial Murders,Suspense,Investigation,Death,Corruption,Time Altering,Smart Female Lead","Lee Je Hoon,Kim Hye Soo,Jo Jin Woong"
Uncontrollably Fond,2016,8.1,"86,949",20,1:00,"Wednesday, Thursday","Comedy,Romance,Drama,Melodrama","Terminal Illness,Tearjerker,Male Chases Female First,Poor Female Lead,Star Crossed Lovers,Rich Male Lead,Illness,Age Gap [Real Life],Singer Male Lead,Naive Female Lead","Kim Woo Bin,Bae Suzy,Im Joo Hwan,Im Ju Eun"
Prison Playbook,2017,8.9,"86,122",16,1:32,"Wednesday, Thursday","Comedy,Crime,Life,Drama","Life Lesson,Prison Setting,Bromance,Wrongfully Accused,Character Development,Slight Romance,Best Friends' Relationship,Murder,Prisoner Male Lead,Black Comedy","Park Hae Soo,Jung Kyung Ho"
The Glory Part 2,2023,9,"85,137",8,0:55,Friday,"Thriller,Drama,Melodrama","Revenge,Graphic Violence,Brief Nudity,Domestic Violence,Suspense,Nudity,Trauma,Sexual Assault,Perpetrator-Victim Relationship,Doctor Male Lead","Song Hye Kyo,Lee Do Hyun,Im Ji Yeon,Yeom Hye Ran,Park Sung Hoon,Jung Sung Il"
Extracurricular,2020,8.3,"84,878",10,0:55,Wednesday,"Psychological,Crime,Youth,Drama","Sex Trafficking,Prostitution,Illegal Business,High School,Smart Male Lead,Violence,Rich Female Lead,School Bullying,Slight Romance,Child Abandonment","Kim Dong Hee,Park Ju Hyun,Jung Da Bin,Nam Yoon Su"
My Mister,2018,9,"84,371",16,1:17,"Wednesday, Thursday","Psychological,Life,Drama","Nice Male Lead,Depression,Healing,Poor Female Lead,Infidelity,Power Struggle,Grandma-Granddaughter Relationship,Smart Female Lead,Warm Man/Cold Woman,Corruption","Lee Sun Kyun,IU"
Dream High,2011,8,"83,783",16,1:10,"Monday, Tuesday","Music,Comedy,Romance,Drama","High School,School Bullying,Love Triangle,Character Development,Youth,Friends To Lovers,Multiple Mains,Cohabitation,Weight Loss,Friendship","Bae Suzy,Kim Soo Hyun,Ok Taec Yeon,Ham Eun Jung,Jang Woo Young,IU"
18 Again,2020,8.6,"83,582",16,1:10,"Monday, Tuesday","Romance,Life,Drama,Fantasy","First Love,Father-Son Relationship,Father-Daughter Relationship,Hardworking Female Lead,Mother-Daughter Relationship,Life Lesson,Becoming Young,Hidden Identity,Character Development,Teenage Pregnancy","Kim Ha Neul,Yoon Sang Hyun,Lee Do Hyun"
Something in the Rain,2018,8,"83,265",16,1:15,"Friday, Saturday","Business,Romance,Life,Melodrama","Family Pressure,Nice Male Lead,Forbidden Love,Older Woman/Younger Man,Sexual Harassment,Male Chases Female First,Disapproving Parent,Secret Relationship,Family Dispute,Sismance","Son Ye Jin,Jung Hae In"
Doctor Strange,2014,7.9,"82,611",20,1:00,"Monday, Tuesday","Thriller,Romance,Drama,Medical","Nice Male Lead,Love Triangle,Scheme,Hidden Identity,Love Square,Kidnapping,Second Chance,Emotionally Strong Female Lead,Emotionally Strong Male Lead,North Korean Female Lead","Lee Jong Suk,Jin Se Yeon,Kang So Ra,Park Hae Jin"
Squid Game,2021,9,"350,000",9,0:55,Fridays,"Thriller,Drama,Action,Mystery","Survival Game,Social Commentary,Dark, Theme,Violence,Dystopia,Class Divide","Lee Jung Jae,Park Hae Soo,Jung Ho Yeon,Oh Yeong Su"
